"Step","first-run - train_loss","first-run - train_loss__MIN","first-run - train_loss__MAX"
"0","0.6022900938811867","0.3676146186458702","0.9590611455727858"
"1","0.5061991973796771","0.3658378510936736","0.7249098187189885"
"2","0.500754071611791","0.3620715264063557","0.682709410847505"
"3","0.46397282862786376","0.35507499143528604","0.5501523170750411"
"4","0.44643495187900634","0.34154626012146067","0.5327722900870493"
"5","0.4552954209446771","0.36306438414795095","0.5474449550353339"
"6","0.43717491210582465","0.34869791057317623","0.52704179505435"
"7","0.41920108404779943","0.3310702919987078","0.5055812197723445"
"8","0.4109172106644834","0.3173017850381593","0.48988157385622866"
"9","0.4297142479242355","0.3361901971517884","0.5080005262339596"
"10","0.4092510336420146","0.34853169900338543","0.4843557332652945"
"11","0.4307305667713399","0.38195974458578874","0.47950138895689115"
"12","0.42129230332534207","0.3685715723811525","0.47401303426953156"
"13","0.4229543556747142","0.37732063834498375","0.46858807300444466"
"14","0.41372597727905985","0.3644829820663995","0.4629689724917202"
"15","0.4048555187485297","0.3521664862031023","0.4575445512939571"
"16","0.3975572881411002","0.3432099188505061","0.4519046574316943"
"17","0.3922665742036975","0.3379000274568485","0.44663312095054647"
"18","0.38274377517493485","0.38274377517493485","0.38274377517493485"
